ablation,arrival_count,average_communication_delay_s,average_end_to_end_delay_s,average_energy_j,average_reward_per_request,average_slot_crossings,bandit_action_count,bandit_updated,epoch,execution_agent,failure_count,feasible_count,p95_end_to_end_delay_s,processed_request_count,request_count,route_estimate_cache_hits,route_estimate_cache_misses,route_mode_local_count,route_mode_min_cost_max_flow_count,routing_precomputed_nodes,routing_precomputed_slots,routing_route_result_hits,routing_route_result_misses,routing_shortest_path_hits,routing_shortest_path_misses,seed,service_routing_strategy,slot_duration_s,slot_mod,slot_start_time_s,success_rate,task_completion_rate,total_reward
sc_nfv,4,1.2470729731316343,28.05517662931217,1202.6945343767882,-11.943687372350942,0.041666666666666664,0,False,29,SCNFVChainingOrbitExecutionAgent,0,4,37.27142894214012,4,4,2603,25167,,24,180,606,1094,25230,0,0,44,min_cost_max_flow,10.0,28,280.0,1.0,1.0,-47.77474948940377
sc_nfv,6,1.5397813196335792,45.24096655324335,1897.702720178751,-19.23500825340459,0.21739130434782608,4,True,30,SCNFVChainingOrbitExecutionAgent,0,6,90.26449266655015,6,6,2743,26205,4,42,180,606,1138,26304,0,0,44,min_cost_max_flow,10.0,29,290.0,1.0,1.0,-115.41004952042753
sc_nfv,5,1.4762795592585527,27.7596671932763,1181.418356001575,-11.812717890911467,0.11428571428571428,0,False,31,SCNFVChainingOrbitExecutionAgent,0,5,40.76668137368529,5,5,2800,27072,3,32,180,606,1173,27171,0,0,44,min_cost_max_flow,10.0,30,300.0,1.0,1.0,-59.06358945455733
sc_nfv,6,1.7247136627619253,48.17714296744713,1954.7132098071438,-20.44368511286314,0.14285714285714285,0,False,32,SCNFVChainingOrbitExecutionAgent,0,6,78.94189980344333,6,6,2907,28359,2,54,180,606,1229,28458,0,0,44,min_cost_max_flow,10.0,31,310.0,1.0,1.0,-122.66211067717884
sc_nfv,12,1.8478356015961421,43.12252963499858,1748.8156713415954,-18.298301256804393,0.16666666666666666,0,False,33,SCNFVChainingOrbitExecutionAgent,0,12,87.95917266752991,12,12,3150,30737,2,100,180,606,1328,30839,0,0,44,min_cost_max_flow,10.0,32,320.0,1.0,1.0,-219.57961508165272
sc_nfv,4,1.5267929177295299,37.37820407933975,1670.8349937043279,-15.953782627958498,0.13793103448275862,0,False,34,SCNFVChainingOrbitExecutionAgent,0,4,73.04933629950494,4,4,3200,31465,1,28,180,606,1357,31567,0,0,44,min_cost_max_flow,10.0,33,330.0,1.0,1.0,-63.81513051183399
sc_nfv,10,1.6696838681818502,33.56255294111926,1408.105318427264,-14.269884367504062,0.14285714285714285,0,False,35,SCNFVChainingOrbitExecutionAgent,0,10,91.95544841487441,10,10,3338,33204,5,65,180,606,1425,33308,0,0,44,min_cost_max_flow,10.0,34,340.0,1.0,1.0,-142.69884367504062
sc_nfv,5,1.6211477547896396,38.315081773609904,1583.1799358550918,-16.275940670957016,0.11428571428571428,0,False,36,SCNFVChainingOrbitExecutionAgent,0,5,81.38448006016154,5,5,3408,34101,2,33,180,606,1460,34205,0,0,44,min_cost_max_flow,10.0,35,350.0,1.0,1.0,-81.37970335478508
sc_nfv,8,1.6037583188747977,42.63297663626988,1798.8622134386142,-18.13250798257112,0.17647058823529413,0,False,37,SCNFVChainingOrbitExecutionAgent,0,8,73.36159727995573,8,8,3655,35598,1,67,180,606,1528,35702,0,0,44,min_cost_max_flow,10.0,36,360.0,1.0,1.0,-145.06006386056896
sc_nfv,2,1.7363515217603311,20.790002232500967,768.4882067657505,-8.777093817059837,0.16666666666666666,0,False,38,SCNFVChainingOrbitExecutionAgent,0,2,26.203114041491745,2,2,3675,35923,,12,180,606,1540,36027,0,0,44,min_cost_max_flow,10.0,37,370.0,1.0,1.0,-17.554187634119675
sc_nfv,4,1.7959333928648642,48.482720093722506,2015.2365483207404,-20.602229966481445,0.23529411764705882,0,False,39,SCNFVChainingOrbitExecutionAgent,0,4,82.37637228836769,4,4,3740,36717,2,32,180,606,1574,36821,0,0,44,min_cost_max_flow,10.0,38,380.0,1.0,1.0,-82.40891986592578
sc_nfv,2,1.418102554547607,44.42951649374436,1985.6589479505346,-18.963201966268066,0.09090909090909091,4,True,40,SCNFVChainingOrbitExecutionAgent,0,2,71.23081828444674,2,2,3782,37200,,22,180,606,1597,37316,0,0,44,min_cost_max_flow,10.0,39,390.0,1.0,1.0,-37.92640393253613
