chain_length,cycle,destination_node,epoch,failed_stage,failure_reason,feasible,request_id,reward,slot_mod,source_node,start_time_s,template_id,total_delay_s,total_energy_j
10,1,13,4,,,True,20,-29.669574974774765,3,11,35.1784746696152,9,69.83915543208319,2889.8546699024846
5,1,1,4,,,True,19,-14.481774538383844,3,4,38.996540428207304,6,34.39783331257504,1204.4020222563806
5,1,31,5,,,True,22,-22.008146165921175,4,44,42.46531323611606,4,51.87017503809568,2100.1269178048346
5,1,18,5,,,True,24,-22.966978619061226,4,14,42.69604330389823,8,54.34366804253282,2049.185670080162
10,1,1,5,,,True,25,-31.269186057641846,4,3,44.142035901867956,10,73.5976836143242,3050.187686520276
10,1,3,5,,,True,27,-25.691074295463686,4,4,46.01815193817961,12,60.72004741075485,2338.4255519362423
15,1,13,5,,,True,28,-57.18465596080404,4,5,48.36579384931161,14,134.37525701904195,5724.255255312084
5,1,3,5,,,True,23,-19.474127762449502,4,1,48.92045139441651,7,46.04580832574279,1759.6740535873082
10,1,25,5,,,True,26,-33.40230593134262,4,3,49.228608125412606,12,79.09171188099491,2942.70196490775
10,1,9,6,,,True,33,-38.04722271580386,5,14,53.92817717416989,9,89.61086085243141,3671.463958052159
5,1,3,6,,,True,31,-18.69141040303451,5,1,54.61593115093809,7,43.892439608315335,1890.7242661806224
5,1,69,6,,,True,30,-8.269867461147527,5,4,56.27392809387787,2,19.851717959308672,548.6337957067622
5,1,11,6,,,True,29,-12.217433317883255,5,44,57.32432847890344,1,28.72070696376268,1215.2508872969722
10,1,9,6,,,True,32,-35.85233067037755,5,11,59.27632274123064,9,84.62262037745228,3338.804198994386
5,1,11,7,,,True,34,-15.05589429285617,6,14,63.602120038544534,3,35.285543628588265,1569.4614023681056
15,1,1,7,,,True,35,-45.68529061002322,6,6,67.36920939446668,13,107.37194708369665,4560.852960907598
10,1,11,8,,,True,37,-30.129635433477205,7,14,71.29540243820864,9,70.95517383293875,2912.609833836169
5,1,11,8,,,True,36,-19.30105543004297,7,44,76.32294642993723,1,45.64836745450587,1736.1807470677036
5,1,8,9,,,True,38,-14.218216099407691,8,61,80.02165441468209,1,33.401959738153224,1429.053673577333
15,1,3,9,,,True,41,-53.69896935987104,8,4,81.0452844438465,13,125.60477362619264,5761.766515656641
15,1,1,9,,,True,40,-49.552164322304364,8,4,82.56893616765599,13,115.71761881239566,5441.8613289101595
5,1,3,9,,,True,39,-18.93791284700315,8,84,89.6461856105574,5,44.56936918553667,1850.2752879808004
15,1,31,10,,,True,51,-58.81458746400099,9,4,90.29118432993337,14,138.37573725541642,5773.8209363906835
10,1,13,10,,,True,47,-37.17458556744595,9,11,90.65887568504222,9,87.14671411157094,3859.8332046959495
10,1,25,10,,,True,50,-34.14773308969848,9,1,92.7864299556007,12,81.00858518384761,2907.165026932379
10,1,16,10,,,True,49,-36.39721657966682,9,3,93.96091802327847,12,86.00722688356952,3323.87637706502
5,1,31,10,,,True,43,-14.508384140648136,9,46,94.15708432492218,4,34.16816134812609,1401.8660023294992
10,1,1,10,,,True,48,-33.551942305026515,9,3,94.7177931174268,10,78.60614616474777,3515.8063985456806
5,1,69,10,,,True,42,-8.502964373629474,9,4,96.6270343157045,2,20.24032784712537,678.0553912988744
5,1,3,10,,,True,44,-22.07585248844162,9,75,96.84744821076478,5,51.94325815788014,2164.2487088159382
5,1,5,10,,,True,45,-17.34001100415901,9,3,98.46946028302428,7,40.88445728250481,1643.7134852618083
5,1,34,10,,,True,46,-13.748203692457858,9,1,99.48484163290429,8,32.76002813094355,1073.654066800728
5,1,4,11,,,True,56,-11.84517483947271,10,1,103.87282059712399,7,27.84815030508122,1176.524529067035
5,1,8,11,,,True,52,-12.0932565038372,10,61,106.13234700155613,1,28.354673954210767,1252.311536921487
10,1,8,11,,,True,58,-40.948957545625184,10,11,106.77810932837373,11,96.49221900106072,3920.116575334831
5,1,53,11,,,True,53,-8.408183060466113,10,4,107.09674567241493,2,20.122553692745228,598.6026389467015
5,1,13,11,,,True,54,-17.226955538990193,10,46,108.74201890881992,4,40.659004257380474,1605.5897267300043
5,1,3,11,,,True,57,-26.394787816419566,10,1,109.6061854437786,7,62.23140180738676,2503.7118224414353
5,1,4,11,,,True,55,-19.334363307741107,10,84,109.99602767156313,5,45.79545779613824,1693.6336488096874
