action,arm_key,cross_orbit_transfer,epoch,estimated_reward,execution_feedback_reward,expected_saving,migration_cost,migration_delay_s,migration_energy_j,migration_route_mode,selected_source_node,service_id,source_node,source_plane,target_node,target_plane
move,"['move', 19, 2, 3]",True,60,1.60987092769913,0.0,1.875,0.26512907230086985,0.472331480959042,0.3759574004908326,min_cost_max_flow,44,19,44,2,57,3
move,"['move', 19, 2, 4]",True,60,1.5496112226380294,0.0,1.875,0.3253887773619706,0.6227102106417988,0.5563127138208734,min_cost_max_flow,47,19,47,2,74,4
move,"['move', 29, 0, 2]",True,70,1.3487315300489322,0.0,1.8000000000000003,0.45126846995106806,0.8717440475445528,0.8812935671739145,min_cost_max_flow,16,29,16,0,44,2
move,"['move', 29, 1, 0]",True,70,1.4511228170247237,0.0,1.8000000000000003,0.3914946469752764,0.7230358469589646,0.39705566457990993,min_cost_max_flow,25,29,25,1,12,0
move,"['move', 29, 1, 2]",True,70,1.3693892871712214,0.0,1.8000000000000003,0.43061071282877894,0.8202138244392927,0.8051804335321534,min_cost_max_flow,24,29,24,1,47,2
move,"['move', 29, 2, 0]",True,70,1.5208146897070196,0.0,1.8000000000000003,0.27918531029298066,0.44228130323119785,0.3845236792648935,min_cost_max_flow,40,29,40,2,5,0
move,"['move', 29, 0, 3]",True,80,1.2788253954830535,0.0,1.6500000000000001,0.37117460451694667,0.671836840165156,0.6629894299028162,min_cost_max_flow,5,29,5,0,55,3
move,"['move', 29, 0, 4]",True,80,1.205202152161338,0.0,1.6500000000000001,0.44479784783866205,0.8554486230532348,0.9605397073758392,min_cost_max_flow,12,29,12,0,75,4
move,"['move', 29, 2, 1]",True,80,1.2950988067741083,0.0,1.6500000000000001,0.3549011932258918,0.6310785816885982,0.7128095958499473,min_cost_max_flow,44,29,44,2,33,1
move,"['move', 29, 2, 3]",True,80,1.4259583068491166,0.0,1.6500000000000001,0.2240416931508835,0.30454505627574235,0.30265974607337065,min_cost_max_flow,47,29,47,2,61,3
move,"['move', 29, 1, 3]",True,90,2.254365452224844,0.0,2.5500000000000003,0.295634547775156,0.48316649451965077,0.5431252905885434,min_cost_max_flow,33,29,33,1,62,3
move,"['move', 29, 3, 0]",True,90,2.175006965895755,0.0,2.5500000000000003,0.37499303410424495,0.6811784348182073,0.7993089733657227,min_cost_max_flow,55,29,55,3,12,0
move,"['move', 29, 3, 1]",True,90,2.2348843508796383,0.0,2.5500000000000003,0.315115649120362,0.531771490412325,0.6082969374823795,min_cost_max_flow,61,29,61,3,33,1
