chain_length,cycle,destination_node,epoch,failed_stage,failure_reason,feasible,request_id,reward,slot_mod,source_node,start_time_s,template_id,total_delay_s,total_energy_j
5,1,7,5,,,True,13,-15.622588892932683,4,4,49.613822220445485,2,37.14383459063097,1275.0917611338225
5,1,3,6,,,True,20,-16.297027601268947,5,4,50.76173114321885,1,38.697118467123275,1363.6336906993938
5,1,16,6,,,True,22,-19.881282767697755,5,1,51.45803980258915,6,46.834094173317105,1912.7418306181878
5,1,17,6,,,True,23,-20.98641494840271,5,12,54.288589449692715,6,48.75643053546923,2473.0712236916943
5,1,1,6,,,True,24,-13.735793050215712,5,12,54.41669205057557,7,32.34798427483401,1327.6655671368462
5,1,12,6,,,True,21,-16.70326889193533,5,7,56.99752101444653,4,39.43591610879883,1548.1707473596607
15,1,5,6,,,True,25,-40.3266346659341,5,4,57.87869196466648,14,94.89761526486444,3945.9809333138687
5,1,3,6,,,True,19,-9.873264457278053,5,4,58.81773314888112,1,23.236803947030722,964.2381307762718
10,1,30,7,,,True,27,-26.816344965743742,6,3,62.81400307406284,10,63.32393651139532,2477.950601976023
15,1,1,7,,,True,30,-65.16397534469533,6,13,63.31078934609276,13,153.36438108791492,6363.704849215611
15,1,1,7,,,True,31,-51.385913522131865,6,12,64.66147634283084,13,120.08856329826543,5584.147004709489
10,1,27,7,,,True,26,-37.305218499007715,6,5,64.89273711740118,10,87.63241754561626,3753.7524679353446
10,1,4,7,,,True,29,-38.45612774204634,6,37,67.871986654014,12,90.84285608637902,3531.6421791578905
10,1,4,7,,,True,28,-32.556677658568326,6,26,69.75371024025314,11,76.81213133493164,3053.0418743261203
5,1,26,8,,,True,34,-13.678859876708742,7,12,73.76770135432727,5,32.28191074066511,1276.8259674044941
5,1,16,8,,,True,35,-29.283840542899075,7,1,74.5300729767374,6,68.72030320314887,2992.8654360658716
5,1,3,8,,,True,32,-14.353540588580296,7,1,74.71338438896433,2,33.336152354032464,1698.466078278848
5,1,3,8,,,True,33,-19.492478320337703,7,8,76.03156759622037,4,46.19025526692094,1693.9603559488783
10,1,1,9,,,True,38,-37.01657455859436,8,5,81.87744935904689,9,86.29527271375446,4164.10912182095
5,1,18,9,,,True,37,-11.248438248679937,8,1,82.26989384352157,7,26.339984538053457,1187.4073890975915
5,1,11,9,,,True,36,-18.637172786507104,8,8,83.62877868959387,4,44.122973906320695,1646.6387066313773
15,1,1,9,,,True,39,-53.742471920095646,8,13,86.83316365023198,13,125.7726238668434,5722.370622263807
10,1,3,10,,,True,46,-46.26625357029885,9,55,90.27751737830695,12,108.07419687809286,5060.958031769513
10,1,1,10,,,True,44,-35.130532580485735,9,3,90.69326773737396,9,82.02796063668637,3865.5805430186365
5,1,34,10,,,True,42,-20.657636747612706,9,1,92.06083953937426,7,49.35746967596708,1524.4147953764525
10,1,3,10,,,True,47,-49.4730831649449,9,54,94.03111357527222,12,115.9472515526986,5156.970906442434
15,1,7,10,,,True,48,-48.87578762619773,9,5,94.0714664678583,14,113.99099824819265,5465.647211534429
10,1,27,10,,,True,45,-39.110387844956136,9,5,94.82246040871877,10,92.11801559584359,3771.969344364498
5,1,5,10,,,True,40,-15.898729787251863,9,12,95.55690987504246,3,37.786583293229995,1306.8274499331071
5,1,1,10,,,True,41,-18.249304597370646,9,6,98.40532327193873,4,43.17065756662237,1635.0692845361627
5,1,34,10,,,True,43,-15.630882390121387,9,1,99.27403067539484,7,36.6310362720364,1630.7798021780484
10,1,4,11,,,True,50,-47.4164661097883,10,55,101.0923110175728,12,111.06924073175088,4981.283028479915
5,1,18,11,,,True,49,-13.842697009351598,10,1,108.71148707025132,7,32.13702035734998,1646.4814440193402
10,1,4,11,,,True,51,-47.96673157567829,10,55,109.0800704957092,12,112.17799899347368,5159.219963814681
5,1,1,12,,,True,53,-15.10871739864285,11,12,110.17859771917577,7,35.38260756644419,1592.7906201086225
15,1,7,12,,,True,56,-58.62032424562779,11,4,111.61572060366566,14,137.25424840074805,6197.708142214277
10,1,1,12,,,True,55,-39.355998323684744,11,3,117.4739250776915,9,91.65294016652585,4491.370428457329
5,1,1,12,,,True,52,-27.66686693035171,11,13,118.43914951711658,6,65.13761370417085,2686.3690811389465
5,1,1,12,,,True,54,-18.894291327205185,11,3,119.69080944508342,8,43.9793924357201,2170.890588195235
5,1,27,13,,,True,57,-23.948602531897407,12,8,121.58710930132743,5,56.528955418533556,2228.3672741399714
15,1,12,14,,,True,67,-65.21549706845087,13,13,132.33257018504906,13,151.7725722337355,7510.780291594437
